X,Y
1068.000,784.000
1069.934,781.735
1072.082,779.794
1074.420,778.146
1076.921,776.756
1079.562,775.592
1082.316,774.621
1085.159,773.809
1088.066,773.125
1091.011,772.535
1093.970,772.005
1096.923,771.509
1099.869,771.040
1102.816,770.597
1105.771,770.179
1108.738,769.786
1111.725,769.417
1114.738,769.072
1117.783,768.749
1120.866,768.447
1123.994,768.167
1127.173,767.907
1130.405,767.669
1133.684,767.460
1137.005,767.284
1140.362,767.148
1143.749,767.059
1147.161,767.022
1150.593,767.042
1154.039,767.127
1157.492,767.282
1160.949,767.512
1164.402,767.825
1167.846,768.226
1171.283,768.714
1174.715,769.283
1178.148,769.926
1181.588,770.636
1185.037,771.408
1188.503,772.234
1191.989,773.108
1195.500,774.024
1199.041,774.975
1202.617,775.954
1206.233,776.954
1209.893,777.970
1213.602,778.995
1217.360,780.026
1221.165,781.058
1225.018,782.089
1228.917,783.116
1232.861,784.135
1236.849,785.143
1240.881,786.136
1244.956,787.112
1249.073,788.067
1253.231,788.997
1257.429,789.901
1261.666,790.773
1265.942,791.612
1270.255,792.413
1274.603,793.176
1278.980,793.901
1283.381,794.588
1287.801,795.237
1292.234,795.849
1296.677,796.425
1301.122,796.964
1305.566,797.467
1310.003,797.934
1314.427,798.366
1318.834,798.763
1323.219,799.126
1327.575,799.454
1331.899,799.749
1336.185,800.011
1340.427,800.240
1344.626,800.440
1348.778,800.615
1352.883,800.770
1356.940,800.907
1360.946,801.032
1364.901,801.148
1368.804,801.259
1372.652,801.370
1376.445,801.484
1380.181,801.605
1383.859,801.737
1387.477,801.884
1391.034,802.051
1394.536,802.240
1397.998,802.451
1401.438,802.684
1404.874,802.940
1408.322,803.218
1411.800,803.519
1415.326,803.843
1418.916,804.190
1422.589,804.560
1426.360,804.953
1430.249,805.369
1434.272,805.809
1438.446,806.272
1442.769,806.758
1447.226,807.265
1451.802,807.793
1456.481,808.339
1461.247,808.902
1466.086,809.481
1470.981,810.075
1475.916,810.683
1480.877,811.302
1485.848,811.932
1490.813,812.571
1495.756,813.218
1500.662,813.871
1505.516,814.530
1510.301,815.192
1515.003,815.857
1519.607,816.524
1524.114,817.194
1528.528,817.873
1532.857,818.564
1537.107,819.272
1541.283,820.001
1545.392,820.754
1549.440,821.536
1553.433,822.352
1557.377,823.204
1561.279,824.099
1565.143,825.038
1568.977,826.028
1572.787,827.071
1576.579,828.172
1580.357,829.334
1584.123,830.553
1587.878,831.825
1591.623,833.147
1595.358,834.516
1599.085,835.927
1602.804,837.377
1606.517,838.863
1610.224,840.380
1613.926,841.924
1617.624,843.493
1621.319,845.083
1625.011,846.690
1628.703,848.309
1632.392,849.940
1636.074,851.583
1639.742,853.241
1643.391,854.914
1647.014,856.606
1650.606,858.318
1654.162,860.051
1657.674,861.808
1661.137,863.590
1664.546,865.400
1667.894,867.238
1671.175,869.108
1674.384,871.011
1677.515,872.948
1680.572,874.918
1683.568,876.918
1686.518,878.943
1689.437,880.989
1692.337,883.050
1695.234,885.124
1698.142,887.206
1701.074,889.291
1704.046,891.375
1707.070,893.454
1710.162,895.523
1713.335,897.579
1716.600,899.617
1719.948,901.640
1723.356,903.653
1726.802,905.662
1730.267,907.672
1733.729,909.687
1737.165,911.714
1740.556,913.757
1743.879,915.821
1747.114,917.912
1750.238,920.035
1753.232,922.195
1756.073,924.397
1758.741,926.646
1761.225,928.946
1763.535,931.299
1765.683,933.703
1767.679,936.161
1769.536,938.672
1771.264,941.237
1772.876,943.857
1774.382,946.532
1775.795,949.263
1777.126,952.050
1778.386,954.893
1779.580,957.793
1780.699,960.743
1781.735,963.739
1782.680,966.778
1783.525,969.853
1784.260,972.961
1784.878,976.096
1785.370,979.255
1785.727,982.432
1785.940,985.622
1786.000,988.822
1785.902,992.025
