ms,degC
2021,25.80
4045,25.70
6068,25.80
8090,25.90
10113,26.00
12137,26.10
14159,26.30
16182,26.40
18204,26.50
20228,26.80
22252,26.90
24274,27.00
26297,27.30
28319,27.30
30343,27.50
32365,27.70
34387,27.80
36411,27.90
38433,28.10
40456,28.30
42480,28.40
44503,28.50
46525,28.80
48547,28.80
50572,29.00
52594,29.00
54617,29.20
56639,29.40
58663,29.60
60686,29.70
62708,29.90
64733,30.00
66755,30.20
68777,30.20
70800,30.40
72824,30.40
74847,30.60
76869,30.70
78893,30.90
80915,31.00
82937,31.10
84962,31.20
86984,31.20
89007,31.40
91031,31.50
93053,31.60
95076,31.60
97099,31.70
99122,31.80
101145,31.90
